HR4000_17_08_2023_13h33min39s spectrum
Wavelength [nm] // Intensity [u.a.] 
332.79181987660826 731.0
333.05751896097087 711.0
333.3232102654422 743.0
333.58889378953916 735.0
333.85456953277856 730.0
334.1202374946774 727.0
334.38589767475247 745.0
334.6515500725206 726.0
334.9171946874987 734.0
335.18283151920355 728.0
335.4484605671522 726.0
335.7140818308614 735.0
335.97969530984807 716.0
336.245301003629 740.0
336.51089891172114 727.0
336.77648903364127 736.0
337.04207136890636 734.0
337.30764591703326 736.0
337.5732126775387 720.0
337.83877164993976 736.0
338.10432283375314 734.0
338.36986622849577 730.0
338.63540183368457 714.0
338.9009296488363 714.0
339.16644967346787 734.0
339.4319619070962 719.0
339.6974663492381 721.0
339.9629629994105 734.0
340.22845185713027 729.0
340.4939329219141 739.0
340.75940619327906 747.0
341.02487167074196 740.0
341.2903293538197 732.0
341.555779242029 719.0
341.821221334887 739.0
342.0866556319103 734.0
342.3520821326158 739.0
342.6175008365205 726.0
342.8829117431413 714.0
343.1483148519949 728.0
343.41371016259825 711.0
343.6790976744682 733.0
343.9444773871216 724.0
344.20984930007546 731.0
344.4752134128465 734.0
344.74056972495157 748.0
345.0059182359076 748.0
345.27125894523147 725.0
345.53659185244 728.0
345.80191695705014 730.0
346.0672342585787 717.0
346.3325437565426 725.0
346.5978454504585 724.0
346.8631393398436 730.0
347.1284254242145 724.0
347.3937037030882 733.0
347.6589741759816 748.0
347.92423684241146 728.0
348.1894917018946 723.0
348.4547387539481 732.0
348.71997799808867 732.0
348.9852094338332 724.0
349.2504330606986 729.0
349.51564887820166 737.0
349.7808568858593 722.0
350.0460570831885 731.0
350.31124946970584 739.0
350.57643404492853 736.0
350.84161080837316 724.0
351.1067797595568 735.0
351.3719408979961 728.0
351.63709422320824 729.0
351.90223973470984 726.0
352.16737743201776 725.0
352.43250731464894 731.0
352.69762938212034 721.0
352.9627436339487 716.0
353.2278500696509 746.0
353.49294868874387 738.0
353.7580394907444 731.0
354.02312247516943 724.0
354.28819764153576 714.0
354.55326498936034 732.0
354.81832451816 739.0
355.08337622745165 727.0
355.348420116752 740.0
355.613456185578 734.0
355.8784844334467 735.0
356.1435048598747 722.0
356.4085174643791 726.0
356.6735222464765 751.0
356.938519205684 732.0
