126HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
249.248187701734 833.0
249.51629815047275 826.0
249.78440097054056 839.0
250.05249616145431 845.0
250.32058372273076 824.0
250.5886636538869 821.0
250.85673595443953 840.0
251.12480062390551 835.0
251.39285766180177 836.0
251.6609070676451 825.0
251.92894884095242 814.0
252.19698298124058 817.0
252.46500948802645 813.0
252.73302836082692 803.0
253.00103959915882 821.0
253.26904320253902 817.0
253.53703917048443 809.0
253.80502750251188 832.0
254.07300819813827 836.0
254.34098125688044 823.0
254.60894667825525 838.0
254.87690446177962 828.0
255.14485460697037 825.0
255.41279711334434 839.0
255.6807319804185 824.0
255.94865920770962 829.0
256.2165787947346 836.0
256.48449074101035 820.0
256.75239504605366 824.0
257.02029170938147 830.0
257.28818073051065 830.0
257.556062108958 823.0
257.8239358442404 820.0
258.0918019358748 814.0
258.35966038337796 833.0
258.6275111862668 823.0
258.8953543440582 826.0
259.163189856269 833.0
259.4310177224162 824.0
259.6988379420164 836.0
259.9666505145867 863.0
260.23445543964385 843.0
260.50225271670473 823.0
260.77004234528624 821.0
261.03782432490533 827.0
261.3055986550787 820.0
261.5733653353234 822.0
261.8411243651561 833.0
262.1088757440937 838.0
262.37661947165327 836.0
262.6443555473515 838.0
262.9120839707053 832.0
263.1798047412315 813.0
263.44751785844704 833.0
263.7152233218687 839.0
263.98292113101354 832.0
264.2506112853982 838.0
264.51829378453965 825.0
264.7859686279547 821.0
265.05363581516025 827.0
265.32129534567326 837.0
265.5889472190105 849.0
265.8565914346889 829.0
266.1242279922252 829.0
266.39185689113634 808.0
266.65947813093925 821.0
266.9270917111508 848.0
267.19469763128774 837.0
267.46229589086704 838.0
267.72988648940554 835.0
267.9974694264201 824.0
268.2650447014276 838.0
268.53261231394487 817.0
268.80017226348883 818.0
269.0677245495763 818.0
269.3352691717242 817.0
269.60280612944933 852.0
269.8703354222686 828.0
270.13785704969894 833.0
270.40537101125716 827.0
270.67287730646007 811.0
270.9403759348246 841.0
271.2078668958677 835.0
271.47535018910605 827.0
271.7428258140567 834.0
272.01029377023633 813.0
272.2777540571619 850.0
272.5452066743504 841.0
272.81265162131854 826.0
273.08008889758327 819.0
273.34751850266144 814.0
273.6149404360698 833.0
273.8823546973254 833.0
274.1497612859451 818.0
274.4171602014456 833.0
274.6845514433439 830.0
274.95193501115676 832.0
275.2193109044012 840.0
275.486679122594 827.0
275.7540396652521 814.0
276.02139253189216 832.0
276.2887377220313 842.0
276.55607523518626 839.0
276.82340507087395 831.0
277.09072722861123 824.0
277.3580417079149 835.0
277.62534850830195 818.0
277.8926476292892 823.0
278.1599390703934 828.0
278.4272228311316 829.0
278.69449891102056 848.0
278.96176730957717 822.0
279.22902802631836 837.0
279.4962810607609 831.0
279.76352641242164 839.0
280.0307640808177 834.0
280.29799406546556 825.0
280.5652163658824 831.0
280.8324309815849 824.0
281.09963791209003 841.0
281.3668371569146 840.0
281.6340287155756 828.0
281.9012125875897 837.0
282.168388772474 831.0
282.4355572697452 840.0
282.7027180789201 829.0
282.9698711995158 817.0
283.23701663104896 830.0
283.50415437303667 840.0
283.77128442499554 833.0
284.0384067864426 820.0
284.3055214568946 815.0
284.57262843586864 821.0
284.8397277228814 818.0
285.1068193174497 834.0
285.37390321909055 823.0
285.6409794273207 833.0
285.9080479416572 819.0
286.1751087616167 822.0
286.4421618867162 833.0
