shot=13_position=5_gas=Ne_height=80_RF=149.3W_massflow=8000_coils=60.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
234.7589082858655 785.0
235.02742996538583 767.0
235.29594404232427 808.0
235.56445051619772 799.0
235.8329493865231 791.0
236.10144065281722 804.0
236.36992431459691 798.0
236.63840037137916 797.0
236.9068688226808 798.0
237.1753296680186 797.0
237.44378290690955 806.0
237.7122285388704 793.0
237.9806665634181 801.0
238.24909698006957 809.0
238.51751978834153 805.0
238.78593498775095 811.0
239.0543425778147 799.0
239.32274255804958 791.0
239.59113492797255 796.0
239.8595196871004 796.0
240.12789683495004 807.0
240.3962663710383 805.0
240.66462829488208 804.0
240.93298260599826 797.0
241.2013293039037 810.0
241.46966838811522 795.0
241.73799985814978 789.0
242.00632371352418 804.0
242.27463995375527 805.0
242.54294857835998 795.0
242.81124958685515 790.0
243.07954297875764 804.0
243.34782875358434 801.0
243.61610691085207 803.0
243.88437745007772 800.0
244.15264037077822 802.0
244.42089567247035 796.0
244.68914335467105 807.0
244.95738341689716 797.0
245.2256158586655 795.0
245.493840679493 788.0
245.76205787889654 785.0
246.03026745639292 800.0
246.29846941149904 801.0
246.5666637437318 801.0
246.834850452608 801.0
247.1030295376446 807.0
247.37120099835838 800.0
247.63936483426627 810.0
247.9075210448851 805.0
248.17566962973177 809.0
248.4438105883231 797.0
248.71194392017603 819.0
248.98006962480733 798.0
249.248187701734 806.0
249.51629815047275 801.0
249.78440097054056 790.0
250.05249616145431 803.0
250.32058372273076 784.0
250.5886636538869 805.0
250.85673595443953 785.0
251.12480062390551 794.0
251.39285766180177 808.0
251.6609070676451 801.0
251.92894884095242 794.0
252.19698298124058 803.0
252.46500948802645 805.0
252.73302836082692 802.0
253.00103959915882 792.0
253.26904320253902 781.0
253.53703917048443 805.0
253.80502750251188 808.0
254.07300819813827 794.0
254.34098125688044 805.0
254.60894667825525 797.0
254.87690446177962 787.0
255.14485460697037 790.0
255.41279711334434 799.0
255.6807319804185 795.0
255.94865920770962 801.0
256.2165787947346 791.0
256.48449074101035 804.0
256.75239504605366 820.0
257.02029170938147 808.0
257.28818073051065 807.0
257.556062108958 808.0
257.8239358442404 807.0
258.0918019358748 809.0
258.35966038337796 788.0
258.6275111862668 799.0
258.8953543440582 794.0
259.163189856269 787.0
259.4310177224162 797.0
259.6988379420164 805.0
259.9666505145867 814.0
260.23445543964385 812.0
260.50225271670473 806.0
260.77004234528624 812.0
261.03782432490533 793.0
261.3055986550787 804.0
261.5733653353234 805.0
261.8411243651561 796.0
262.1088757440937 802.0
262.37661947165327 798.0
262.6443555473515 796.0
262.9120839707053 792.0
263.1798047412315 797.0
263.44751785844704 792.0
263.7152233218687 790.0
263.98292113101354 804.0
264.2506112853982 778.0
264.51829378453965 807.0
264.7859686279547 793.0
265.05363581516025 791.0
265.32129534567326 801.0
265.5889472190105 801.0
265.8565914346889 816.0
266.1242279922252 794.0
266.39185689113634 802.0
266.65947813093925 799.0
266.9270917111508 790.0
267.19469763128774 797.0
267.46229589086704 797.0
267.72988648940554 803.0
267.9974694264201 815.0
268.2650447014276 808.0
268.53261231394487 797.0
268.80017226348883 803.0
269.0677245495763 803.0
269.3352691717242 779.0
269.60280612944933 800.0
269.8703354222686 798.0
270.13785704969894 803.0
270.40537101125716 809.0
270.67287730646007 794.0
270.9403759348246 800.0
271.2078668958677 784.0
271.47535018910605 794.0
271.7428258140567 789.0
272.01029377023633 808.0
272.2777540571619 807.0
272.5452066743504 810.0
272.81265162131854 793.0
273.08008889758327 806.0
273.34751850266144 795.0
273.6149404360698 795.0
273.8823546973254 795.0
274.1497612859451 806.0
274.4171602014456 819.0
274.6845514433439 790.0
274.95193501115676 795.0
275.2193109044012 799.0
275.486679122594 810.0
275.7540396652521 799.0
276.02139253189216 794.0
276.2887377220313 789.0
276.55607523518626 792.0
276.82340507087395 798.0
277.09072722861123 796.0
277.3580417079149 796.0
277.62534850830195 810.0
277.8926476292892 810.0
278.1599390703934 801.0
278.4272228311316 796.0
278.69449891102056 789.0
278.96176730957717 794.0
279.22902802631836 790.0
279.4962810607609 793.0
279.76352641242164 792.0
280.0307640808177 788.0
280.29799406546556 785.0
280.5652163658824 806.0
280.8324309815849 785.0
281.09963791209003 805.0
