shot=38_position=7_gas=Ar_height=80_RF=149.1W_massflow=500_coils=60.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
368.59063341579173 804.0
368.85527784490864 798.0
369.1199144289115 802.0
369.3845431673172 806.0
369.6491640596426 792.0
369.91377710540445 809.0
370.1783823041198 803.0
370.44297965530546 793.0
370.70756915847835 784.0
370.97215081315517 802.0
371.2367246188529 802.0
371.5012905750884 804.0
371.7658486813786 796.0
372.0303989372402 794.0
372.29494134219027 789.0
372.5594758957455 801.0
372.82400259742286 807.0
373.08852144673915 804.0
373.3530324432114 792.0
373.6175355863563 791.0
373.8820308756908 798.0
374.1465183107317 785.0
374.410997890996 787.0
374.6754696160004 815.0
374.93993348526186 802.0
375.2043894982973 813.0
375.4688376546235 807.0
375.7332779537573 794.0
375.9977103952157 799.0
376.26213497851546 789.0
376.52655170317354 804.0
376.7909605687067 806.0
377.05536157463183 798.0
377.3197547204658 814.0
377.5841400057256 805.0
377.84851742992794 800.0
378.11288699258984 806.0
378.37724869322795 806.0
378.64160253135935 821.0
378.90594850650075 803.0
379.1702866181692 804.0
379.4346168658814 801.0
379.69893924915425 801.0
379.9632537675047 800.0
380.2275604204495 797.0
380.49185920750574 794.0
380.75615012819 806.0
381.0204331820193 794.0
381.2847083685105 788.0
381.5489756871804 811.0
381.8132351375459 808.0
382.07748671912407 808.0
382.34173043143153 814.0
382.6059662739852 815.0
382.8701942463019 812.0
383.1344143478986 798.0
383.3986265782921 806.0
383.6628309369994 790.0
383.92702742353725 813.0
384.1912160374225 803.0
384.45539677817203 780.0
384.7195696453027 794.0
384.98373463833155 799.0
385.2478917567753 786.0
385.5120410001507 798.0
385.7761823679748 807.0
386.0403158597644 806.0
386.30444147503647 804.0
386.5685592133077 797.0
386.8326690740951 799.0
387.09677105691543 786.0
387.36086516128563 796.0
387.6249513867226 790.0
387.88902973274315 787.0
388.15310019886414 786.0
388.41716278460245 782.0
388.68121748947493 802.0
388.9452643129986 805.0
389.2093032546901 803.0
389.47333431406645 793.0
389.73735749064434 805.0
390.0013727839409 797.0
390.2653801934728 810.0
390.52937971875696 814.0
390.7933713593103 808.0
391.05735511464974 803.0
391.3213309842919 797.0
391.5852989677539 797.0
391.8492590645524 805.0
392.1132112742045 799.0
392.37715559622694 791.0
392.6410920301366 793.0
392.9050205754503 806.0
393.1689412316849 804.0
393.43285399835736 816.0
393.69675887498465 811.0
393.96065586108335 791.0
394.2245449561705 800.0
394.4884261597629 791.0
394.75229947137757 809.0
395.01616489053123 798.0
395.28002241674085 798.0
395.5438720495231 797.0
395.80771378839506 799.0
396.0715476328735 810.0
396.33537358247537 804.0
396.5991916367174 792.0
396.86300179511665 802.0
397.12680405718976 806.0
397.39059842245376 787.0
397.65438489042543 790.0
397.91816346062177 784.0
398.18193413255955 795.0
398.4456969057556 807.0
398.7094517797268 809.0
398.97319875399006 801.0
399.2369378280623 797.0
399.50066900146027 783.0
399.764392273701 784.0
400.02810764430114 793.0
400.2918151127777 792.0
400.55551467864757 797.0
400.81920634142756 814.0
401.08289010063453 801.0
401.34656595578537 809.0
401.6102339063969 803.0
401.8738939519861 790.0
402.1375460920697 818.0
402.4011903261647 788.0
402.6648266537879 778.0
402.92845507445617 814.0
403.1920755876863 807.0
403.4556881929953 799.0
403.71929288990003 788.0
403.98288967791734 795.0
404.246478556564 794.0
404.5100595253569 795.0
404.77363258381297 809.0
405.03719773144906 791.0
405.3007549677821 793.0
405.56430429232887 805.0
405.82784570460626 808.0
406.0913792041311 798.0
406.35490479042033 806.0
406.61842246299085 795.0
406.88193222135936 813.0
407.14543406504293 810.0
407.4089279935582 817.0
407.6724140064223 795.0
407.9358921031519 787.0
408.19936228326395 800.0
408.4628245462754 801.0
408.7262788917029 796.0
408.9897253190635 795.0
409.25316382787395 797.0
409.5165944176513 797.0
409.7800170879122 802.0
410.04343183817366 811.0
410.30683866795243 805.0
410.57023757676546 806.0
410.83362856412975 792.0
411.09701162956185 809.0
411.3603867725789 796.0
411.62375399269763 805.0
411.887113289435 802.0
412.1504646623078 805.0
412.4138081108329 816.0
412.6771436345273 793.0
412.94047123290767 799.0
413.20379090549096 791.0
413.46710265179405 801.0
413.7304064713339 801.0
413.9937023636272 798.0
414.25699032819097 790.0
414.52027036454194 798.0
414.78354247219704 794.0
415.0468066506732 794.0
415.31006289948726 791.0
415.5733112181561 805.0
415.83655160619645 808.0
416.0997840631253 785.0
416.3630085884595 783.0
416.62622518171594 799.0
416.8894338424115 794.0
417.152634570063 805.0
417.4158273641873 789.0
417.67901222430123 807.0
417.9421891499217 804.0
418.2053581405658 804.0
418.46851919575005 807.0
418.7316723149915 810.0
418.99481749780693 812.0
419.2579547437133 807.0
419.5210840522274 795.0
419.78420542286625 795.0
420.04731885514644 792.0
420.31042434858506 800.0
420.573521902699 816.0
420.83661151700494 790.0
421.0996931910199 812.0
421.3627669242608 803.0
421.6258327162443 809.0
421.88889056648736 807.0
422.1519404745069 804.0
422.41498243981977 812.0
422.6780164619429 812.0
422.9410425403929 808.0
423.2040606746869 805.0
423.46707086434174 806.0
423.7300731088742 807.0
423.9930674078012 807.0
424.25605376063965 822.0
424.5190321669063 794.0
424.782002626118 805.0
425.0449651377918 812.0
425.30791970144446 801.0
425.57086631659286 797.0
425.83380498275386 793.0
426.0967356994443 810.0
426.3596584661811 809.0
426.6225732824811 801.0
426.88548014786113 800.0
427.14837906183817 788.0
427.411270023929 796.0
427.6741530336505 802.0
427.9370280905195 788.0
428.199895194053 816.0
428.46275434376776 806.0
428.72560553918066 799.0
428.98844877980855 804.0
429.2512840651683 800.0
429.51411139477693 807.0
429.77693076815115 803.0
430.03974218480784 808.0
430.3025456442639 809.0
430.5653411460361 817.0
430.82812868964146 806.0
431.09090827459687 803.0
431.353679900419 803.0
431.61644356662487 796.0
431.87919927273134 808.0
432.1419470182551 808.0
432.40468680271334 810.0
432.66741862562276 822.0
432.93014248650013 809.0
