78HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
222.66757186922214 835.0
222.93643516488416 829.0
223.20529087970525 821.0
223.47413901320226 832.0
223.74297956489212 851.0
224.01181253429166 830.0
224.28063792091777 830.0
224.5494557242873 824.0
224.8182659439171 822.0
225.08706857932413 822.0
225.35586363002508 806.0
225.62465109553705 822.0
225.89343097537673 818.0
226.16220326906105 828.0
226.43096797610687 827.0
226.69972509603105 823.0
226.9684746283505 829.0
227.237216572582 840.0
227.50595092824256 821.0
227.7746776948489 827.0
228.04339687191796 820.0
228.31210845896663 842.0
228.5808124555117 830.0
228.84950886107015 824.0
229.11819767515877 833.0
229.38687889729442 831.0
229.65555252699397 824.0
229.92421856377433 821.0
230.1928770071524 833.0
230.46152785664492 837.0
230.73017111176884 822.0
230.99880677204106 831.0
231.26743483697837 827.0
231.53605530609772 822.0
231.8046681789159 825.0
232.07327345494983 834.0
232.34187113371638 827.0
232.61046121473237 824.0
232.87904369751473 821.0
233.14761858158028 832.0
233.41618586644586 842.0
233.68474555162845 839.0
233.95329763664483 817.0
234.2218421210119 837.0
234.49037900424648 847.0
234.7589082858655 828.0
235.02742996538583 844.0
235.29594404232427 838.0
235.56445051619772 830.0
235.8329493865231 821.0
236.10144065281722 837.0
236.36992431459691 827.0
236.63840037137916 839.0
236.9068688226808 827.0
237.1753296680186 839.0
237.44378290690955 801.0
237.7122285388704 827.0
237.9806665634181 827.0
238.24909698006957 825.0
238.51751978834153 823.0
238.78593498775095 829.0
239.0543425778147 835.0
239.32274255804958 833.0
239.59113492797255 835.0
239.8595196871004 835.0
240.12789683495004 826.0
240.3962663710383 836.0
240.66462829488208 823.0
240.93298260599826 851.0
241.2013293039037 833.0
241.46966838811522 806.0
241.73799985814978 808.0
242.00632371352418 820.0
242.27463995375527 828.0
242.54294857835998 827.0
242.81124958685515 845.0
243.07954297875764 828.0
243.34782875358434 817.0
243.61610691085207 824.0
243.88437745007772 832.0
244.15264037077822 826.0
244.42089567247035 843.0
244.68914335467105 824.0
244.95738341689716 823.0
245.2256158586655 809.0
245.493840679493 846.0
245.76205787889654 830.0
246.03026745639292 840.0
246.29846941149904 831.0
246.5666637437318 840.0
246.834850452608 830.0
247.1030295376446 828.0
247.37120099835838 822.0
247.63936483426627 827.0
247.9075210448851 834.0
248.17566962973177 823.0
248.4438105883231 829.0
248.71194392017603 830.0
248.98006962480733 816.0
249.248187701734 835.0
249.51629815047275 814.0
249.78440097054056 826.0
250.05249616145431 822.0
250.32058372273076 826.0
250.5886636538869 827.0
250.85673595443953 819.0
251.12480062390551 826.0
251.39285766180177 833.0
251.6609070676451 826.0
251.92894884095242 833.0
252.19698298124058 822.0
252.46500948802645 820.0
252.73302836082692 815.0
253.00103959915882 821.0
253.26904320253902 833.0
253.53703917048443 808.0
253.80502750251188 826.0
254.07300819813827 822.0
254.34098125688044 831.0
254.60894667825525 823.0
254.87690446177962 826.0
255.14485460697037 819.0
255.41279711334434 810.0
255.6807319804185 818.0
255.94865920770962 838.0
256.2165787947346 840.0
256.48449074101035 814.0
256.75239504605366 812.0
257.02029170938147 824.0
257.28818073051065 825.0
