gas=Ar_shot=3_power=96.5WHR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
324.2853442854901 837.0
324.55129207127885 809.0
324.8172320926366 810.0
325.08316434908016 812.0
325.34908884012646 805.0
325.61500556529234 804.0
325.8809145240947 808.0
326.14681571605024 797.0
326.4127091406761 805.0
326.6785947974889 810.0
326.9444726860058 822.0
327.2103428057433 821.0
327.47620515621855 799.0
327.74205973694836 802.0
328.00790654744947 799.0
328.2737455872389 792.0
328.5395768558335 812.0
328.80540035275004 793.0
329.0712160775054 804.0
329.33702402961654 812.0
329.6028242086002 800.0
329.86861661397353 830.0
330.13440124525306 808.0
330.4001781019559 816.0
330.66594718359863 814.0
330.9317084896984 802.0
331.19746201977205 810.0
331.46320777333636 805.0
331.7289457499082 813.0
331.9946759490044 807.0
332.2603983701419 824.0
332.5261130128375 817.0
332.79181987660826 810.0
333.05751896097087 812.0
333.3232102654422 813.0
333.58889378953916 825.0
333.85456953277856 814.0
334.1202374946774 804.0
334.38589767475247 805.0
334.6515500725206 814.0
334.9171946874987 806.0
335.18283151920355 797.0
335.4484605671522 824.0
335.7140818308614 808.0
335.97969530984807 818.0
336.245301003629 811.0
336.51089891172114 812.0
336.77648903364127 808.0
337.04207136890636 818.0
337.30764591703326 823.0
337.5732126775387 807.0
337.83877164993976 807.0
338.10432283375314 805.0
338.36986622849577 804.0
338.63540183368457 815.0
338.9009296488363 806.0
339.16644967346787 800.0
339.4319619070962 804.0
339.6974663492381 800.0
339.9629629994105 797.0
340.22845185713027 816.0
340.4939329219141 822.0
340.75940619327906 822.0
341.02487167074196 816.0
341.2903293538197 796.0
341.555779242029 801.0
341.821221334887 816.0
342.0866556319103 817.0
342.3520821326158 797.0
342.6175008365205 814.0
342.8829117431413 790.0
343.1483148519949 799.0
343.41371016259825 804.0
343.6790976744682 806.0
343.9444773871216 812.0
344.20984930007546 796.0
344.4752134128465 827.0
344.74056972495157 815.0
345.0059182359076 821.0
345.27125894523147 798.0
345.53659185244 816.0
345.80191695705014 810.0
346.0672342585787 808.0
346.3325437565426 813.0
346.5978454504585 802.0
346.8631393398436 810.0
347.1284254242145 819.0
347.3937037030882 812.0
347.6589741759816 805.0
347.92423684241146 813.0
348.1894917018946 817.0
348.4547387539481 794.0
348.71997799808867 806.0
348.9852094338332 798.0
