gas=Ar_shot=25_power=239.1WHR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
228.31210845896663 834.0
228.5808124555117 830.0
228.84950886107015 806.0
229.11819767515877 821.0
229.38687889729442 805.0
229.65555252699397 821.0
229.92421856377433 814.0
230.1928770071524 819.0
230.46152785664492 800.0
230.73017111176884 812.0
230.99880677204106 807.0
231.26743483697837 812.0
231.53605530609772 817.0
231.8046681789159 825.0
232.07327345494983 835.0
232.34187113371638 821.0
232.61046121473237 828.0
232.87904369751473 809.0
233.14761858158028 822.0
233.41618586644586 816.0
233.68474555162845 825.0
233.95329763664483 818.0
234.2218421210119 821.0
234.49037900424648 816.0
234.7589082858655 814.0
235.02742996538583 797.0
235.29594404232427 812.0
235.56445051619772 816.0
235.8329493865231 804.0
236.10144065281722 807.0
236.36992431459691 811.0
236.63840037137916 817.0
236.9068688226808 808.0
237.1753296680186 813.0
237.44378290690955 803.0
237.7122285388704 814.0
237.9806665634181 807.0
238.24909698006957 817.0
238.51751978834153 806.0
238.78593498775095 822.0
239.0543425778147 815.0
239.32274255804958 801.0
239.59113492797255 811.0
239.8595196871004 810.0
240.12789683495004 816.0
240.3962663710383 814.0
240.66462829488208 811.0
240.93298260599826 811.0
241.2013293039037 824.0
241.46966838811522 801.0
241.73799985814978 803.0
242.00632371352418 807.0
242.27463995375527 816.0
242.54294857835998 806.0
242.81124958685515 818.0
243.07954297875764 825.0
243.34782875358434 807.0
243.61610691085207 799.0
243.88437745007772 829.0
244.15264037077822 826.0
244.42089567247035 828.0
244.68914335467105 830.0
244.95738341689716 808.0
245.2256158586655 819.0
245.493840679493 804.0
245.76205787889654 802.0
246.03026745639292 825.0
246.29846941149904 814.0
246.5666637437318 796.0
246.834850452608 824.0
247.1030295376446 813.0
247.37120099835838 809.0
247.63936483426627 805.0
247.9075210448851 817.0
248.17566962973177 818.0
248.4438105883231 833.0
248.71194392017603 825.0
248.98006962480733 823.0
249.248187701734 831.0
249.51629815047275 802.0
249.78440097054056 810.0
250.05249616145431 817.0
250.32058372273076 808.0
250.5886636538869 814.0
250.85673595443953 822.0
251.12480062390551 808.0
251.39285766180177 813.0
251.6609070676451 808.0
251.92894884095242 799.0
252.19698298124058 809.0
252.46500948802645 810.0
252.73302836082692 811.0
253.00103959915882 808.0
253.26904320253902 821.0
253.53703917048443 819.0
253.80502750251188 808.0
254.07300819813827 813.0
254.34098125688044 821.0
254.60894667825525 823.0
254.87690446177962 810.0
255.14485460697037 815.0
255.41279711334434 814.0
255.6807319804185 817.0
255.94865920770962 814.0
256.2165787947346 809.0
256.48449074101035 834.0
256.75239504605366 838.0
257.02029170938147 816.0
257.28818073051065 818.0
257.556062108958 818.0
257.8239358442404 799.0
258.0918019358748 822.0
258.35966038337796 820.0
258.6275111862668 800.0
258.8953543440582 810.0
259.163189856269 805.0
259.4310177224162 817.0
259.6988379420164 823.0
259.9666505145867 815.0
260.23445543964385 809.0
260.50225271670473 821.0
260.77004234528624 794.0
261.03782432490533 813.0
261.3055986550787 804.0
261.5733653353234 807.0
261.8411243651561 811.0
262.1088757440937 809.0
262.37661947165327 801.0
262.6443555473515 808.0
262.9120839707053 814.0
263.1798047412315 809.0
263.44751785844704 811.0
263.7152233218687 810.0
263.98292113101354 797.0
264.2506112853982 816.0
264.51829378453965 818.0
264.7859686279547 805.0
265.05363581516025 804.0
265.32129534567326 802.0
265.5889472190105 813.0
265.8565914346889 815.0
266.1242279922252 808.0
