gas=Ar_shot=35_power=138.5W_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
228.31210845896663 804.0
228.5808124555117 816.0
228.84950886107015 797.0
229.11819767515877 821.0
229.38687889729442 814.0
229.65555252699397 811.0
229.92421856377433 819.0
230.1928770071524 821.0
230.46152785664492 820.0
230.73017111176884 832.0
230.99880677204106 823.0
231.26743483697837 826.0
231.53605530609772 820.0
231.8046681789159 815.0
232.07327345494983 829.0
232.34187113371638 821.0
232.61046121473237 808.0
232.87904369751473 803.0
233.14761858158028 819.0
233.41618586644586 815.0
233.68474555162845 819.0
233.95329763664483 826.0
234.2218421210119 826.0
234.49037900424648 830.0
234.7589082858655 817.0
235.02742996538583 820.0
235.29594404232427 823.0
235.56445051619772 832.0
235.8329493865231 820.0
236.10144065281722 829.0
236.36992431459691 826.0
236.63840037137916 821.0
236.9068688226808 821.0
237.1753296680186 828.0
237.44378290690955 816.0
237.7122285388704 814.0
237.9806665634181 810.0
238.24909698006957 806.0
238.51751978834153 819.0
238.78593498775095 803.0
239.0543425778147 825.0
239.32274255804958 817.0
239.59113492797255 794.0
239.8595196871004 819.0
240.12789683495004 826.0
240.3962663710383 829.0
240.66462829488208 819.0
240.93298260599826 810.0
241.2013293039037 811.0
241.46966838811522 804.0
241.73799985814978 820.0
242.00632371352418 822.0
242.27463995375527 826.0
242.54294857835998 811.0
242.81124958685515 812.0
243.07954297875764 805.0
243.34782875358434 820.0
243.61610691085207 821.0
243.88437745007772 831.0
244.15264037077822 810.0
244.42089567247035 843.0
244.68914335467105 817.0
244.95738341689716 829.0
245.2256158586655 825.0
245.493840679493 842.0
245.76205787889654 810.0
246.03026745639292 807.0
246.29846941149904 825.0
246.5666637437318 839.0
246.834850452608 837.0
247.1030295376446 819.0
247.37120099835838 815.0
247.63936483426627 813.0
247.9075210448851 812.0
248.17566962973177 810.0
248.4438105883231 823.0
248.71194392017603 818.0
248.98006962480733 812.0
249.248187701734 822.0
249.51629815047275 809.0
249.78440097054056 809.0
250.05249616145431 802.0
250.32058372273076 810.0
250.5886636538869 826.0
250.85673595443953 824.0
251.12480062390551 820.0
251.39285766180177 825.0
251.6609070676451 828.0
251.92894884095242 811.0
252.19698298124058 798.0
252.46500948802645 813.0
252.73302836082692 811.0
253.00103959915882 826.0
253.26904320253902 820.0
253.53703917048443 808.0
253.80502750251188 801.0
254.07300819813827 813.0
254.34098125688044 825.0
254.60894667825525 816.0
254.87690446177962 800.0
255.14485460697037 819.0
255.41279711334434 830.0
255.6807319804185 810.0
255.94865920770962 822.0
256.2165787947346 819.0
256.48449074101035 814.0
256.75239504605366 808.0
257.02029170938147 821.0
257.28818073051065 810.0
257.556062108958 807.0
257.8239358442404 806.0
258.0918019358748 824.0
258.35966038337796 810.0
258.6275111862668 813.0
258.8953543440582 817.0
259.163189856269 804.0
259.4310177224162 800.0
259.6988379420164 824.0
259.9666505145867 825.0
260.23445543964385 827.0
260.50225271670473 829.0
260.77004234528624 808.0
261.03782432490533 823.0
261.3055986550787 810.0
261.5733653353234 805.0
261.8411243651561 833.0
262.1088757440937 814.0
262.37661947165327 829.0
262.6443555473515 808.0
262.9120839707053 827.0
263.1798047412315 813.0
263.44751785844704 824.0
263.7152233218687 805.0
263.98292113101354 819.0
264.2506112853982 818.0
264.51829378453965 824.0
264.7859686279547 827.0
265.05363581516025 810.0
265.32129534567326 806.0
265.5889472190105 830.0
265.8565914346889 827.0
