HR4000_03_08_2023_13h58min08s spectrum
Wavelength [nm] // Intensity [u.a.] 
690.9341400000001 817.0
691.9341400000001 782.0
692.9341400000001 811.0
693.9341400000001 800.0
694.9341400000001 790.0
695.9341400000001 808.0
696.9341400000001 816.0
697.9341400000001 789.0
698.9341400000001 795.0
699.9341400000001 816.0
700.9341400000001 810.0
701.9341400000001 816.0
702.9341400000001 802.0
703.9341400000001 792.0
704.9341400000001 805.0
705.9341400000001 803.0
706.9341400000001 806.0
707.9341400000001 811.0
708.9341400000001 799.0
709.9341400000001 796.0
710.9341400000001 806.0
711.9341400000001 808.0
712.9341400000001 817.0
713.9341400000001 811.0
714.9341400000001 801.0
715.9341400000001 802.0
716.9341400000001 801.0
717.9341400000001 798.0
718.9341400000001 798.0
719.9341400000001 812.0
720.9341400000001 796.0
721.9341400000001 801.0
722.9341400000001 799.0
723.9341400000001 798.0
724.9341400000001 803.0
725.9341400000001 799.0
726.9341400000001 808.0
727.9341400000001 797.0
728.9341400000001 784.0
729.9341400000001 801.0
730.9341400000001 795.0
731.9341400000001 783.0
732.9341400000001 803.0
733.9341400000001 811.0
734.9341400000001 817.0
735.9341400000001 785.0
736.9341400000001 813.0
737.9341400000001 803.0
738.9341400000001 807.0
739.9341400000001 803.0
740.9341400000001 801.0
741.9341400000001 785.0
742.9341400000001 802.0
743.9341400000001 803.0
744.9341400000001 787.0
745.9341400000001 792.0
746.9341400000001 796.0
747.9341400000001 798.0
748.9341400000001 809.0
749.9341400000001 808.0
750.9341400000001 799.0
751.9341400000001 788.0
752.9341400000001 804.0
753.9341400000001 812.0
754.9341400000001 806.0
755.9341400000001 821.0
756.9341400000001 809.0
757.9341400000001 815.0
758.9341400000001 821.0
759.9341400000001 804.0
760.9341400000001 804.0
761.9341400000001 805.0
762.9341400000001 804.0
763.9341400000001 797.0
764.9341400000001 803.0
765.9341400000001 814.0
766.9341400000001 803.0
767.9341400000001 805.0
768.9341400000001 798.0
769.9341400000001 803.0
770.9341400000001 800.0
771.9341400000001 787.0
772.9341400000001 797.0
773.9341400000001 812.0
774.9341400000001 808.0
775.9341400000001 817.0
776.9341400000001 792.0
777.9341400000001 809.0
778.9341400000001 802.0
779.9341400000001 809.0
780.9341400000001 799.0
781.9341400000001 786.0
782.9341400000001 803.0
783.9341400000001 807.0
784.9341400000001 811.0
785.9341400000001 833.0
786.9341400000001 819.0
787.9341400000001 808.0
788.9341400000001 813.0
789.9341400000001 796.0
790.9341400000001 785.0
791.9341400000001 799.0
792.9341400000001 800.0
793.9341400000001 800.0
794.9341400000001 810.0
795.9341400000001 795.0
796.9341400000001 802.0
797.9341400000001 819.0
798.9341400000001 803.0
799.9341400000001 806.0
800.9341400000001 798.0
801.9341400000001 808.0
802.9341400000001 784.0
803.9341400000001 802.0
804.9341400000001 791.0
805.9341400000001 801.0
806.9341400000001 799.0
807.9341400000001 806.0
808.9341400000001 803.0
809.9341400000001 793.0
810.9341400000001 788.0
811.9341400000001 809.0
812.9341400000001 786.0
813.9341400000001 786.0
